"","Date","Deces","Annee"
"1",2020-01-01,2206,2017
"2",2020-01-02,2371,2017
"3",2020-01-03,2353,2017
"4",2020-01-04,2251,2017
"5",2020-01-05,2272,2017
"6",2020-01-06,2260,2017
"7",2020-01-07,2239,2017
"8",2020-01-08,2228,2017
"9",2020-01-09,2379,2017
"10",2020-01-10,2420,2017
"11",2020-01-11,2359,2017
"12",2020-01-12,2318,2017
"13",2020-01-13,2351,2017
"14",2020-01-14,2213,2017
"15",2020-01-15,2119,2017
"16",2020-01-16,2233,2017
"17",2020-01-17,2186,2017
"18",2020-01-18,2117,2017
"19",2020-01-19,2111,2017
"20",2020-01-20,2163,2017
"21",2020-01-21,2193,2017
"22",2020-01-22,2120,2017
"23",2020-01-23,2206,2017
"24",2020-01-24,2102,2017
"25",2020-01-25,2222,2017
"26",2020-01-26,2227,2017
"27",2020-01-27,2212,2017
"28",2020-01-28,2117,2017
"29",2020-01-29,2100,2017
"30",2020-01-30,2156,2017
"31",2020-01-31,2160,2017
"32",2020-02-01,2219,2017
"33",2020-02-02,2101,2017
"34",2020-02-03,2081,2017
"35",2020-02-04,2050,2017
"36",2020-02-05,1946,2017
"37",2020-02-06,2032,2017
"38",2020-02-07,2009,2017
"39",2020-02-08,2011,2017
"40",2020-02-09,1949,2017
"41",2020-02-10,2009,2017
"42",2020-02-11,1915,2017
"43",2020-02-12,1903,2017
"44",2020-02-13,1980,2017
"45",2020-02-14,1898,2017
"46",2020-02-15,1957,2017
"47",2020-02-16,1889,2017
"48",2020-02-17,1903,2017
"49",2020-02-18,1756,2017
"50",2020-02-19,1665,2017
"51",2020-02-20,1759,2017
"52",2020-02-21,1776,2017
"53",2020-02-22,1856,2017
"54",2020-02-23,1793,2017
"55",2020-02-24,1811,2017
"56",2020-02-25,1672,2017
"57",2020-02-26,1742,2017
"58",2020-02-27,1792,2017
"59",2020-02-28,1815,2017
"60",2020-03-01,1695,2017
"61",2020-03-02,1782,2017
"62",2020-03-03,1752,2017
"63",2020-03-04,1740,2017
"64",2020-03-05,1559,2017
"65",2020-03-06,1658,2017
"66",2020-03-07,1724,2017
"67",2020-03-08,1656,2017
"68",2020-03-09,1728,2017
"69",2020-03-10,1789,2017
"70",2020-03-11,1701,2017
"71",2020-03-12,1609,2017
"72",2020-03-13,1734,2017
"73",2020-03-14,1634,2017
"74",2020-03-15,1582,2017
"75",2020-03-16,1612,2017
"76",2020-03-17,1625,2017
"77",2020-03-18,1553,2017
"78",2020-03-19,1656,2017
"79",2020-03-20,1604,2017
"80",2020-03-21,1626,2017
"81",2020-03-22,1624,2017
"82",2020-03-23,1601,2017
"83",2020-03-24,1628,2017
"84",2020-03-25,1614,2017
"85",2020-03-26,1469,2017
"86",2020-03-27,1546,2017
"87",2020-03-28,1644,2017
"88",2020-03-29,1532,2017
"89",2020-03-30,1639,2017
"90",2020-03-31,1642,2017
"91",2020-04-01,1629,2017
"92",2020-04-02,1530,2017
"93",2020-04-03,1604,2017
"94",2020-04-04,1550,2017
"95",2020-04-05,1602,2017
"96",2020-04-06,1592,2017
"97",2020-04-07,1554,2017
"98",2020-04-08,1573,2017
"99",2020-04-09,1554,2017
"100",2020-04-10,1566,2017
"101",2020-04-11,1618,2017
"102",2020-04-12,1585,2017
"103",2020-04-13,1672,2017
"104",2020-04-14,1597,2017
"105",2020-04-15,1477,2017
"106",2020-04-16,1515,2017
"107",2020-04-17,1468,2017
"108",2020-04-18,1575,2017
"109",2020-04-19,1600,2017
"110",2020-04-20,1558,2017
"111",2020-04-21,1648,2017
"112",2020-04-22,1623,2017
"113",2020-04-23,1596,2017
"114",2020-04-24,1639,2017
"115",2020-04-25,1681,2017
"116",2020-04-26,1688,2017
"117",2020-04-27,1653,2017
"118",2020-04-28,1582,2017
"119",2020-04-29,1570,2017
"120",2020-04-30,1584,2017
"121",2020-05-01,1576,2017
"122",2020-05-02,1640,2017
"123",2020-05-03,1586,2017
"124",2020-05-04,1618,2017
"125",2020-05-05,1619,2017
"126",2020-05-06,1634,2017
"127",2020-05-07,1567,2017
"128",2020-05-08,1525,2017
"129",2020-05-09,1612,2017
"130",2020-05-10,1613,2017
"131",2020-05-11,1661,2017
"132",2020-05-12,1573,2017
"133",2020-05-13,1554,2017
"134",2020-05-14,1561,2017
