"","Date","Deces","Annee"
"175",2020-06-24,1435,2003
"176",2020-06-25,1505,2003
"177",2020-06-26,1515,2003
"178",2020-06-27,1472,2003
"179",2020-06-28,1368,2003
"180",2020-06-29,1381,2003
"181",2020-06-30,1397,2003
"182",2020-07-01,1418,2003
"183",2020-07-02,1342,2003
"184",2020-07-03,1322,2003
"185",2020-07-04,1356,2003
"186",2020-07-05,1371,2003
"187",2020-07-06,1360,2003
"188",2020-07-07,1425,2003
"189",2020-07-08,1417,2003
"190",2020-07-09,1395,2003
"191",2020-07-10,1421,2003
"192",2020-07-11,1542,2003
"193",2020-07-12,1480,2003
"194",2020-07-13,1481,2003
"195",2020-07-14,1472,2003
"196",2020-07-15,1729,2003
"197",2020-07-16,1678,2003
"198",2020-07-17,1438,2003
"199",2020-07-18,1465,2003
"200",2020-07-19,1473,2003
"201",2020-07-20,1492,2003
"202",2020-07-21,1522,2003
"203",2020-07-22,1510,2003
"204",2020-07-23,1435,2003
"205",2020-07-24,1422,2003
"206",2020-07-25,1328,2003
"207",2020-07-26,1455,2003
"208",2020-07-27,1390,2003
"209",2020-07-28,1361,2003
"210",2020-07-29,1351,2003
"211",2020-07-30,1401,2003
"212",2020-07-31,1301,2003
"213",2020-08-01,1321,2003
"214",2020-08-02,1440,2003
"215",2020-08-03,1482,2003
"216",2020-08-04,1655,2003
"217",2020-08-05,1920,2003
"218",2020-08-06,2143,2003
"219",2020-08-07,2322,2003
"220",2020-08-08,2559,2003
"221",2020-08-09,2598,2003
"222",2020-08-10,2761,2003
"223",2020-08-11,3228,2003
"224",2020-08-12,3579,2003
"225",2020-08-13,3320,2003
"226",2020-08-14,2364,2003
"227",2020-08-15,1860,2003
"228",2020-08-16,1625,2003
"229",2020-08-17,1610,2003
"230",2020-08-18,1602,2003
"231",2020-08-19,1460,2003
"232",2020-08-20,1363,2003
"233",2020-08-21,1389,2003
"234",2020-08-22,1344,2003
"235",2020-08-23,1395,2003
"236",2020-08-24,1440,2003
"237",2020-08-25,1465,2003
"238",2020-08-26,1360,2003
"239",2020-08-27,1426,2003
"240",2020-08-28,1456,2003
"241",2020-08-29,1438,2003
"242",2020-08-30,1332,2003
"243",2020-08-31,1208,2003
"244",2020-09-01,1328,2003
"245",2020-09-02,1327,2003
"246",2020-09-03,1316,2003
"247",2020-09-04,1333,2003
"248",2020-09-05,1406,2003
"249",2020-09-06,1406,2003
"250",2020-09-07,1315,2003
"251",2020-09-08,1431,2003
"252",2020-09-09,1443,2003
"253",2020-09-10,1340,2003
"254",2020-09-11,1400,2003
"255",2020-09-12,1446,2003
"256",2020-09-13,1357,2003
"257",2020-09-14,1324,2003
"258",2020-09-15,1413,2003
"259",2020-09-16,1470,2003
"260",2020-09-17,1390,2003
"261",2020-09-18,1420,2003
"262",2020-09-19,1410,2003
"263",2020-09-20,1438,2003
"264",2020-09-21,1418,2003
"265",2020-09-22,1520,2003
"266",2020-09-23,1443,2003
"267",2020-09-24,1357,2003
"268",2020-09-25,1388,2003
"269",2020-09-26,1401,2003
"270",2020-09-27,1405,2003
"271",2020-09-28,1328,2003
"272",2020-09-29,1461,2003
"273",2020-09-30,1415,2003
"274",2020-10-01,1454,2003
"275",2020-10-02,1440,2003
"276",2020-10-03,1360,2003
"277",2020-10-04,1393,2003
"278",2020-10-05,1315,2003
"279",2020-10-06,1423,2003
"280",2020-10-07,1333,2003
"281",2020-10-08,1438,2003
"282",2020-10-09,1404,2003
"283",2020-10-10,1428,2003
"284",2020-10-11,1446,2003
"285",2020-10-12,1380,2003
"286",2020-10-13,1407,2003
"287",2020-10-14,1465,2003
"288",2020-10-15,1375,2003
"289",2020-10-16,1403,2003
"290",2020-10-17,1365,2003
"291",2020-10-18,1409,2003
"292",2020-10-19,1343,2003
"293",2020-10-20,1456,2003
"294",2020-10-21,1439,2003
"295",2020-10-22,1427,2003
"296",2020-10-23,1504,2003
"297",2020-10-24,1394,2003
"298",2020-10-25,1405,2003
"299",2020-10-26,1402,2003
"300",2020-10-27,1485,2003
"301",2020-10-28,1482,2003
"302",2020-10-29,1421,2003
"303",2020-10-30,1523,2003
"304",2020-10-31,1479,2003
"305",2020-11-01,1477,2003
"306",2020-11-02,1400,2003
"307",2020-11-03,1436,2003
"308",2020-11-04,1551,2003
"309",2020-11-05,1448,2003
"310",2020-11-06,1450,2003
"311",2020-11-07,1511,2003
"312",2020-11-08,1422,2003
"313",2020-11-09,1465,2003
"314",2020-11-10,1509,2003
"315",2020-11-11,1426,2003
"316",2020-11-12,1454,2003
"317",2020-11-13,1431,2003
"318",2020-11-14,1396,2003
"319",2020-11-15,1503,2003
"320",2020-11-16,1439,2003
"321",2020-11-17,1394,2003
"322",2020-11-18,1428,2003
"323",2020-11-19,1461,2003
"324",2020-11-20,1467,2003
"325",2020-11-21,1392,2003
"326",2020-11-22,1484,2003
"327",2020-11-23,1459,2003
"328",2020-11-24,1473,2003
"329",2020-11-25,1413,2003
"330",2020-11-26,1449,2003
"331",2020-11-27,1470,2003
"332",2020-11-28,1452,2003
"333",2020-11-29,1480,2003
"334",2020-11-30,1419,2003
"335",2020-12-01,1460,2003
"336",2020-12-02,1456,2003
"337",2020-12-03,1434,2003
"338",2020-12-04,1362,2003
"339",2020-12-05,1340,2003
"340",2020-12-06,1312,2003
"341",2020-12-07,1367,2003
"342",2020-12-08,1388,2003
"343",2020-12-09,1402,2003
"344",2020-12-10,1313,2003
"345",2020-12-11,1300,2003
"346",2020-12-12,1259,2003
"347",2020-12-13,1186,2003
"348",2020-12-14,1074,2003
"349",2020-12-15,1037,2003
"350",2020-12-16,939,2003
"351",2020-12-17,882,2003
"352",2020-12-18,927,2003
"353",2020-12-19,856,2003
"354",2020-12-20,807,2003
"355",2020-12-21,779,2003
"356",2020-12-22,737,2003
"357",2020-12-23,536,2003
"358",2020-12-24,328,2003
"359",2020-12-25,225,2003
"360",2020-12-26,96,2003
"361",2020-12-27,5,2003
"362",2020-12-28,1,2003
"363",2020-12-29,1,2003
"364",2020-01-03,1,2004
"365",2020-01-05,1,2004
"366",2020-01-08,2,2004
"367",2020-01-14,1,2004
"368",2020-01-16,1,2004
"369",2020-01-17,2,2004
"370",2020-01-24,1,2004
"371",2020-02-02,1,2004
"372",2020-02-03,1,2004
"373",2020-02-11,1,2004
"374",2020-02-15,2,2004
"375",2020-02-18,1,2004
"376",2020-02-22,2,2004
"377",2020-03-04,1,2004
"378",2020-03-06,1,2004
"379",2020-03-07,1,2004
"380",2020-03-08,2,2004
"381",2020-03-12,1,2004
"382",2020-03-25,1,2004
